bar_index,time,open,high,low,close,volume,time_close
0,1776243600,74110.52,74176.49,73909.49,74011.69,363.2179,1776247200
1,1776247200,74011.7,74250,73789.5,73864.75,548.88747,1776250800
2,1776250800,73864.76,74256.44,73864.76,74201.78,444.7329,1776254400
3,1776254400,74201.78,74466.1,74051.64,74273.77,567.44529,1776258000
4,1776258000,74273.77,74434.51,73817.23,74063.92,676.35905,1776261600
5,1776261600,74063.91,74506.84,73830,74151.81,757.76569,1776265200
6,1776265200,74151.81,74299.07,73580.85,73844.08,743.29132,1776268800
7,1776268800,73844.07,74176,73762.89,73941.09,547.84936,1776272400
8,1776272400,73941.09,74242,73915.48,74134.95,593.44252,1776276000
9,1776276000,74134.95,74399.75,74073.61,74390.29,407.09098,1776279600
10,1776279600,74390.29,75281,74355.46,75002.6,1179.99077,1776283200
11,1776283200,75002.6,75039.92,74512.06,74841.68,570.09892,1776286800
12,1776286800,74841.67,74855.16,74540.23,74743.1,310.66035,1776290400
13,1776290400,74743.1,75425,74740.02,74964,653.95001,1776294000
14,1776294000,74964.01,74964.01,74620.95,74809.99,311.26846,1776297600
15,1776297600,74809.99,74874.93,74451.49,74815.1,636.94865,1776301200
16,1776301200,74815.09,74815.09,74454.09,74657.66,240.65148,1776304800
17,1776304800,74657.67,75267.85,74601.27,74887.24,589.65615,1776308400
18,1776308400,74887.23,75159.26,74865.5,74888.21,470.71966,1776312000
19,1776312000,74888.21,75174.38,74728,74944.15,513.51186,1776315600
20,1776315600,74944.15,75139.82,74900,75043.48,359.01217,1776319200
21,1776319200,75043.47,75115.12,74853.72,75045.01,604.84284,1776322800
22,1776322800,75045.01,75082.78,74636,74707.03,708.0609,1776326400
23,1776326400,74707.02,74744.35,74500,74677.91,669.8621,1776330000
24,1776330000,74677.91,74901.5,74594.01,74594.02,316.26697,1776333600
25,1776333600,74594.02,74653.12,74277.34,74313,526.53069,1776337200
26,1776337200,74312.99,74663.27,74285,74574.79,1174.6136,1776340800
27,1776340800,74574.8,74872,74574.79,74624,529.55969,1776344400
28,1776344400,74624.01,75030.39,73309.85,73788.03,1828.93731,1776348000
29,1776348000,73788.03,74197.32,73426.94,73973.33,1331.31817,1776351600
30,1776351600,73973.33,74878.99,73934.44,74697.19,1520.20876,1776355200
31,1776355200,74697.2,74932,74063,74175.57,762.35705,1776358800
32,1776358800,74175.58,74438.31,73912.23,74343.25,751.1945,1776362400
33,1776362400,74343.25,75089,74240,75026.71,780.63438,1776366000
34,1776366000,75026.71,75410.71,74717.97,75342.99,1203.37407,1776369600
35,1776369600,75343,75534.76,75001,75223.47,661.71844,1776373200
36,1776373200,75223.48,75286.51,74789.5,74934.24,451.58433,1776376800
37,1776376800,74934.24,75117,74833.14,74867.92,232.35004,1776380400
38,1776380400,74867.92,75177.76,74840.92,75154.29,224.77396,1776384000
39,1776384000,75154.28,75154.77,74886.82,74944.98,796.37355,1776387600
40,1776387600,74944.99,75034.49,74569.99,74750,407.29847,1776391200
41,1776391200,74750,74802.98,74529.4,74700,235.53372,1776394800
42,1776394800,74700,74839.31,74606.12,74615.82,721.66261,1776398400
43,1776398400,74615.82,74871.11,74589.88,74791.39,213.9543,1776402000
