bar_index,time,time_W,time_close_W,sec_w_gaps_on_la_off,sec_w_gaps_off_la_off,sec_w_gaps_on_la_on,sec_w_gaps_off_la_on
-1000100,1726839000,1726862400000,1726493400000,228.2,228.2,,228.2
-1000099,1727098200,1727121600000,1727098200000,,228.2,227.79,227.79
-1000098,1727184600,1727208000000,1727098200000,,228.2,,227.79
-1000097,1727271000,1727294400000,1727098200000,,228.2,,227.79
-1000096,1727357400,1727380800000,1727098200000,,228.2,,227.79
-1000095,1727443800,1727467200000,1727098200000,227.79,227.79,,227.79
-1000094,1727703000,1727726400000,1727703000000,,227.79,226.8,226.8
-1000093,1727789400,1727812800000,1727703000000,,227.79,,226.8
-1000092,1727875800,1727899200000,1727703000000,,227.79,,226.8
-1000091,1727962200,1727985600000,1727703000000,,227.79,,226.8
-1000090,1728048600,1728072000000,1727703000000,226.8,226.8,,226.8
-1000089,1728307800,1728331200000,1728307800000,,226.8,227.55,227.55
-1000088,1728394200,1728417600000,1728307800000,,226.8,,227.55
-1000087,1728480600,1728504000000,1728307800000,,226.8,,227.55
-1000086,1728567000,1728590400000,1728307800000,,226.8,,227.55
-1000085,1728653400,1728676800000,1728307800000,227.55,227.55,,227.55
-1000084,1728912600,1728936000000,1728912600000,,227.55,235,235
-1000083,1728999000,1729022400000,1728912600000,,227.55,,235
-1000082,1729085400,1729108800000,1728912600000,,227.55,,235
-1000081,1729171800,1729195200000,1728912600000,,227.55,,235
-1000080,1729258200,1729281600000,1728912600000,235,235,,235
-1000079,1729517400,1729540800000,1729517400000,,235,231.41,231.41
-1000078,1729603800,1729627200000,1729517400000,,235,,231.41
-1000077,1729690200,1729713600000,1729517400000,,235,,231.41
-1000076,1729776600,1729800000000,1729517400000,,235,,231.41
-1000075,1729863000,1729886400000,1729517400000,231.41,231.41,,231.41
-1000074,1730122200,1730145600000,1730122200000,,231.41,222.91,222.91
-1000073,1730208600,1730232000000,1730122200000,,231.41,,222.91
-1000072,1730295000,1730318400000,1730122200000,,231.41,,222.91
-1000071,1730381400,1730404800000,1730122200000,,231.41,,222.91
-1000070,1730467800,1730491200000,1730122200000,222.91,222.91,,222.91
-1000069,1730730600,1730754000000,1730730600000,,222.91,226.96,226.96
-1000068,1730817000,1730840400000,1730730600000,,222.91,,226.96
-1000067,1730903400,1730926800000,1730730600000,,222.91,,226.96
-1000066,1730989800,1731013200000,1730730600000,,222.91,,226.96
-1000065,1731076200,1731099600000,1730730600000,226.96,226.96,,226.96
-1000064,1731335400,1731358800000,1731335400000,,226.96,225,225
-1000063,1731421800,1731445200000,1731335400000,,226.96,,225
-1000062,1731508200,1731531600000,1731335400000,,226.96,,225
-1000061,1731594600,1731618000000,1731335400000,,226.96,,225
-1000060,1731681000,1731704400000,1731335400000,225,225,,225
-1000059,1731940200,1731963600000,1731940200000,,225,229.87,229.87
-1000058,1732026600,1732050000000,1731940200000,,225,,229.87
-1000057,1732113000,1732136400000,1731940200000,,225,,229.87
-1000056,1732199400,1732222800000,1731940200000,,225,,229.87
-1000055,1732285800,1732309200000,1731940200000,229.87,229.87,,229.87
-1000054,1732545000,1732568400000,1732545000000,,229.87,237.33,237.33
-1000053,1732631400,1732654800000,1732545000000,,229.87,,237.33
-1000052,1732717800,1732741200000,1732545000000,,229.87,,237.33
-1000051,1732890600,1732903200000,1732545000000,237.33,237.33,,237.33
-1000050,1733149800,1733173200000,1733149800000,,237.33,242.84,242.84
-1000049,1733236200,1733259600000,1733149800000,,237.33,,242.84
-1000048,1733322600,1733346000000,1733149800000,,237.33,,242.84
-1000047,1733409000,1733432400000,1733149800000,,237.33,,242.84
-1000046,1733495400,1733518800000,1733149800000,242.84,242.84,,242.84
-1000045,1733754600,1733778000000,1733754600000,,242.84,248.13,248.13
-1000044,1733841000,1733864400000,1733754600000,,242.84,,248.13
-1000043,1733927400,1733950800000,1733754600000,,242.84,,248.13
-1000042,1734013800,1734037200000,1733754600000,,242.84,,248.13
-1000041,1734100200,1734123600000,1733754600000,248.13,248.13,,248.13
-1000040,1734359400,1734382800000,1734359400000,,248.13,254.49,254.49
-1000039,1734445800,1734469200000,1734359400000,,248.13,,254.49
-1000038,1734532200,1734555600000,1734359400000,,248.13,,254.49
-1000037,1734618600,1734642000000,1734359400000,,248.13,,254.49
-1000036,1734705000,1734728400000,1734359400000,254.49,254.49,,254.49
-1000035,1734964200,1734987600000,1734964200000,,254.49,255.59,255.59
-1000034,1735050600,1735063200000,1734964200000,,254.49,,255.59
-1000033,1735223400,1735246800000,1734964200000,,254.49,,255.59
-1000032,1735309800,1735333200000,1734964200000,255.59,255.59,,255.59
-1000031,1735569000,1735592400000,1735569000000,,255.59,243.36,243.36
-1000030,1735655400,1735678800000,1735569000000,,255.59,,243.36
-1000029,1735828200,1735851600000,1735569000000,,255.59,,243.36
-1000028,1735914600,1735938000000,1735569000000,243.36,243.36,,243.36
-1000027,1736173800,1736197200000,1736173800000,,243.36,236.85,236.85
-1000026,1736260200,1736283600000,1736173800000,,243.36,,236.85
-1000025,1736346600,1736370000000,1736173800000,,243.36,,236.85
-1000024,1736519400,1736542800000,1736173800000,236.85,236.85,,236.85
-1000023,1736778600,1736802000000,1736778600000,,236.85,229.98,229.98
-1000022,1736865000,1736888400000,1736778600000,,236.85,,229.98
-1000021,1736951400,1736974800000,1736778600000,,236.85,,229.98
-1000020,1737037800,1737061200000,1736778600000,,236.85,,229.98
-1000019,1737124200,1737147600000,1736778600000,229.98,229.98,,229.98
-1000018,1737469800,1737493200000,1737469800000,,229.98,222.78,222.78
-1000017,1737556200,1737579600000,1737469800000,,229.98,,222.78
-1000016,1737642600,1737666000000,1737469800000,,229.98,,222.78
-1000015,1737729000,1737752400000,1737469800000,222.78,222.78,,222.78
-1000014,1737988200,1738011600000,1737988200000,,222.78,236,236
-1000013,1738074600,1738098000000,1737988200000,,222.78,,236
-1000012,1738161000,1738184400000,1737988200000,,222.78,,236
-1000011,1738247400,1738270800000,1737988200000,,222.78,,236
-1000010,1738333800,1738357200000,1737988200000,236,236,,236
-1000009,1738593000,1738616400000,1738593000000,,236,227.63,227.63
-1000008,1738679400,1738702800000,1738593000000,,236,,227.63
-1000007,1738765800,1738789200000,1738593000000,,236,,227.63
-1000006,1738852200,1738875600000,1738593000000,,236,,227.63
-1000005,1738938600,1738962000000,1738593000000,227.63,227.63,,227.63
-1000004,1739197800,1739221200000,1739197800000,,227.63,244.6,244.6
-1000003,1739284200,1739307600000,1739197800000,,227.63,,244.6
-1000002,1739370600,1739394000000,1739197800000,,227.63,,244.6
-1000001,1739457000,1739480400000,1739197800000,,227.63,,244.6
0,1739543400,1739566800000,1739197800000,244.6,244.6,,244.6
1,1739889000,1739912400000,1739889000000,,244.6,245.55,245.55
2,1739975400,1739998800000,1739889000000,,244.6,,245.55
3,1740061800,1740085200000,1739889000000,,244.6,,245.55
4,1740148200,1740171600000,1739889000000,245.55,245.55,,245.55
5,1740407400,1740430800000,1740407400000,,245.55,241.84,241.84
6,1740493800,1740517200000,1740407400000,,245.55,,241.84
7,1740580200,1740603600000,1740407400000,,245.55,,241.84
8,1740666600,1740690000000,1740407400000,,245.55,,241.84
9,1740753000,1740776400000,1740407400000,241.84,241.84,,241.84
10,1741012200,1741035600000,1741012200000,,241.84,239.07,239.07
11,1741098600,1741122000000,1741012200000,,241.84,,239.07
12,1741185000,1741208400000,1741012200000,,241.84,,239.07
13,1741271400,1741294800000,1741012200000,,241.84,,239.07
