bar_index,time,open,high,low,close,volume
0,1739543400,241.25,245.55,240.99,244.6,40896227
1,1739889000,244.15,245.18,241.84,244.47,48822491
2,1739975400,244.66,246.01,243.1604,244.87,32204215
3,1740061800,244.94,246.78,244.29,245.83,32316907
4,1740148200,245.95,248.69,245.22,245.55,53197431
5,1740407400,244.925,248.86,244.42,247.1,51326396
6,1740493800,248,250,244.91,247.04,48013272
7,1740580200,244.33,244.98,239.13,240.36,44433564
8,1740666600,239.41,242.46,237.06,237.3,41153639
9,1740753000,236.95,242.09,230.2,241.84,56833360
10,1741012200,241.79,244.0272,236.112,238.03,47183985
11,1741098600,237.705,240.07,234.68,235.93,53798062
12,1741185000,235.42,236.55,229.23,235.74,47227643
13,1741271400,234.435,237.86,233.1581,235.33,45170419
14,1741357800,235.105,241.37,234.76,239.07,46273565
15,1741613400,235.54,236.16,224.22,227.48,72071197
16,1741699800,223.805,225.8399,217.45,220.84,76137410
17,1741786200,220.14,221.75,214.91,216.98,62547467
18,1741872600,215.95,216.8394,208.42,209.68,61368330
19,1741959000,211.25,213.95,209.58,213.49,60107582
20,1742218200,213.31,215.22,209.97,214,48073426
21,1742304600,214.16,215.15,211.49,212.69,42432426
22,1742391000,214.22,218.76,213.75,215.24,54385391
23,1742477400,213.99,217.4899,212.22,214.1,48862947
24,1742563800,211.56,218.84,211.28,218.27,94127768
25,1742823000,221,221.48,218.58,220.73,44299483
26,1742909400,220.77,224.1,220.08,223.75,34493583
27,1742995800,223.51,225.02,220.47,221.53,34532656
28,1743082200,221.39,224.99,220.5601,223.85,37094774
29,1743168600,221.67,223.81,217.68,217.9,39818617
30,1743427800,217.005,225.62,216.23,222.13,65299321
31,1743514200,219.805,223.68,218.9,223.19,36412740
32,1743600600,221.315,225.19,221.02,223.89,35905904
33,1743687000,205.54,207.49,201.25,203.19,103419006
34,1743773400,193.89,199.88,187.34,188.38,125910913
35,1744032600,177.2,194.15,174.62,181.46,160466286
36,1744119000,186.7,190.335,169.2101,172.42,120859491
37,1744205400,171.95,200.61,171.89,198.85,184395885
38,1744291800,189.065,194.7799,183,190.42,121879981
39,1744378200,186.1,199.54,186.06,198.15,87435915
40,1744637400,211.44,212.94,201.1621,202.52,101352911
41,1744723800,201.855,203.51,199.8,202.14,51343872
42,1744810200,198.36,200.7,192.37,194.27,59732423
43,1744896600,197.2,198.8335,194.42,196.98,52164675
44,1745242200,193.265,193.8,189.8112,193.16,46742537
45,1745328600,196.12,201.59,195.97,199.74,52976371
46,1745415000,206,208,202.799,204.6,52929165
47,1745501400,204.89,208.8299,202.94,208.37,47310989
48,1745587800,206.365,209.75,206.2,209.28,38222258
