bar_index,tv_bar_time,tv_open,tv_high,tv_low,tv_close,tv_closedtrades_count,tv_position_size,tv_trade_no,tv_entry_bar_index,tv_exit_bar_index,tv_entry_price,tv_exit_price,tv_size,tv_profit
-1000101,1726752600,1726752600000,224.99,229.82,224.63,228.87,0,0,,,,,,,
-1000100,1726839000,1726839000000,229.97,233.09,227.62,228.2,0,0,,,,,,,
-1000099,1727098200,1727098200000,227.34,229.45,225.81,226.47,0,0,,,,,,,
-1000098,1727184600,1727184600000,228.645,229.35,225.73,227.37,0,0,,,,,,,
-1000097,1727271000,1727271000000,224.93,227.29,224.02,226.37,0,0,,,,,,,
-1000096,1727357400,1727357400000,227.3,228.5,225.41,227.52,0,0,,,,,,,
-1000095,1727443800,1727443800000,228.46,229.52,227.3,227.79,0,0,,,,,,,
-1000094,1727703000,1727703000000,230.04,233,229.65,233,0,0,,,,,,,
-1000093,1727789400,1727789400000,229.52,229.65,223.74,226.21,0,0,,,,,,,
-1000092,1727875800,1727875800000,225.89,227.37,223.02,226.78,0,0,,,,,,,
-1000091,1727962200,1727962200000,225.14,226.805,223.32,225.67,0,0,,,,,,,
-1000090,1728048600,1728048600000,227.9,228,224.13,226.8,0,0,,,,,,,
-1000089,1728307800,1728307800000,224.5,225.69,221.33,221.69,0,0,,,,,,,
-1000088,1728394200,1728394200000,224.3,225.98,223.25,225.77,0,0,,,,,,,
-1000087,1728480600,1728480600000,225.23,229.75,224.83,229.54,0,0,,,,,,,
-1000086,1728567000,1728567000000,227.78,229.5,227.17,229.04,0,0,,,,,,,
-1000085,1728653400,1728653400000,229.3,229.41,227.34,227.55,0,0,,,,,,,
-1000084,1728912600,1728912600000,228.7,231.73,228.6,231.3,0,0,,,,,,,
-1000083,1728999000,1728999000000,233.61,237.49,232.37,233.85,0,0,,,,,,,
-1000082,1729085400,1729085400000,231.6,232.12,229.84,231.78,0,0,,,,,,,
-1000081,1729171800,1729171800000,233.43,233.85,230.52,232.15,0,0,,,,,,,
-1000080,1729258200,1729258200000,236.18,236.18,234.01,235,0,0,,,,,,,
-1000079,1729517400,1729517400000,234.45,236.85,234.45,236.48,0,0,,,,,,,
-1000078,1729603800,1729603800000,233.885,236.22,232.6,235.86,0,0,,,,,,,
-1000077,1729690200,1729690200000,234.08,235.144,227.76,230.76,0,0,,,,,,,
-1000076,1729776600,1729776600000,229.98,230.82,228.41,230.57,0,0,,,,,,,
-1000075,1729863000,1729863000000,229.74,233.22,229.57,231.41,0,0,,,,,,,
-1000074,1730122200,1730122200000,233.32,234.73,232.55,233.4,0,0,,,,,,,
-1000073,1730208600,1730208600000,233.1,234.325,232.32,233.67,0,0,,,,,,,
-1000072,1730295000,1730295000000,232.61,233.47,229.55,230.1,0,0,,,,,,,
-1000071,1730381400,1730381400000,229.34,229.83,225.37,225.91,0,0,,,,,,,
-1000070,1730467800,1730467800000,220.965,225.35,220.27,222.91,0,0,,,,,,,
-1000069,1730730600,1730730600000,220.99,222.79,219.71,222.01,0,0,,,,,,,
-1000068,1730817000,1730817000000,221.795,223.95,221.14,223.45,0,0,,,,,,,
-1000067,1730903400,1730903400000,222.61,226.065,221.19,222.72,0,0,,,,,,,
-1000066,1730989800,1730989800000,224.625,227.875,224.57,227.48,0,0,,,,,,,
-1000065,1731076200,1731076200000,227.17,228.66,226.405,226.96,0,0,,,,,,,
-1000064,1731335400,1731335400000,225,225.7,221.5,224.23,0,0,,,,,,,
-1000063,1731421800,1731421800000,224.55,225.59,223.355,224.23,0,0,,,,,,,
-1000062,1731508200,1731508200000,224.01,226.65,222.76,225.12,0,0,,,,,,,
-1000061,1731594600,1731594600000,225.02,228.87,225,228.22,0,0,,,,,,,
-1000060,1731681000,1731681000000,226.4,226.92,224.27,225,0,0,,,,,,,
-1000059,1731940200,1731940200000,225.25,229.74,225.17,228.02,0,0,,,,,,,
-1000058,1732026600,1732026600000,226.98,230.16,226.66,228.28,0,0,,,,,,,
-1000057,1732113000,1732113000000,228.06,229.93,225.89,229,0,0,,,,,,,
-1000056,1732199400,1732199400000,228.88,230.155,225.7103,228.52,0,0,,,,,,,
-1000055,1732285800,1732285800000,228.06,230.7199,228.06,229.87,0,0,,,,,,,
-1000054,1732545000,1732545000000,231.46,233.245,229.74,232.87,0,0,,,,,,,
-1000053,1732631400,1732631400000,233.33,235.57,233.33,235.06,0,0,,,,,,,
-1000052,1732717800,1732717800000,234.465,235.69,233.8101,234.93,0,0,,,,,,,
-1000051,1732890600,1732890600000,234.805,237.81,233.97,237.33,0,0,,,,,,,
-1000050,1733149800,1733149800000,237.27,240.79,237.16,239.59,0,0,,,,,,,
-1000049,1733236200,1733236200000,239.81,242.76,238.9,242.65,0,0,,,,,,,
-1000048,1733322600,1733322600000,242.87,244.11,241.25,243.01,0,0,,,,,,,
-1000047,1733409000,1733409000000,243.99,244.54,242.13,243.04,0,0,,,,,,,
-1000046,1733495400,1733495400000,242.905,244.63,242.08,242.84,0,0,,,,,,,
-1000045,1733754600,1733754600000,241.83,247.24,241.75,246.75,0,0,,,,,,,
-1000044,1733841000,1733841000000,246.89,248.21,245.34,247.77,0,0,,,,,,,
-1000043,1733927400,1733927400000,247.96,250.8,246.2601,246.49,0,0,,,,,,,
-1000042,1734013800,1734013800000,246.89,248.74,245.68,247.96,0,0,,,,,,,
-1000041,1734100200,1734100200000,247.815,249.2902,246.24,248.13,0,0,,,,,,,
-1000040,1734359400,1734359400000,247.99,251.38,247.65,251.04,0,0,,,,,,,
-1000039,1734445800,1734445800000,250.08,253.83,249.78,253.48,0,0,,,,,,,
-1000038,1734532200,1734532200000,252.16,254.28,247.74,248.05,0,0,,,,,,,
-1000037,1734618600,1734618600000,247.5,252,247.0949,249.79,0,0,,,,,,,
-1000036,1734705000,1734705000000,248.04,255,245.69,254.49,0,0,,,,,,,
-1000035,1734964200,1734964200000,254.77,255.65,253.45,255.27,0,0,,,,,,,
-1000034,1735050600,1735050600000,255.49,258.21,255.29,258.2,0,0,,,,,,,
-1000033,1735223400,1735223400000,258.19,260.1,257.63,259.02,0,0,,,,,,,
-1000032,1735309800,1735309800000,257.83,258.7,253.06,255.59,0,0,,,,,,,
-1000031,1735569000,1735569000000,252.23,253.5,250.75,252.2,0,0,,,,,,,
-1000030,1735655400,1735655400000,252.44,253.28,249.43,250.42,0,0,,,,,,,
-1000029,1735828200,1735828200000,248.93,249.1,241.8201,243.85,0,0,,,,,,,
-1000028,1735914600,1735914600000,243.36,244.18,241.89,243.36,0,0,,,,,,,
-1000027,1736173800,1736173800000,244.31,247.33,243.2,245,0,0,,,,,,,
-1000026,1736260200,1736260200000,242.98,245.55,241.35,242.21,0,0,,,,,,,
-1000025,1736346600,1736346600000,241.92,243.7123,240.05,242.7,0,0,,,,,,,
-1000024,1736519400,1736519400000,240.01,240.16,233,236.85,0,0,,,,,,,
-1000023,1736778600,1736778600000,233.53,234.67,229.72,234.4,0,0,,,,,,,
-1000022,1736865000,1736865000000,234.75,236.12,232.472,233.28,0,0,,,,,,,
-1000021,1736951400,1736951400000,234.635,238.96,234.43,237.87,0,0,,,,,,,
-1000020,1737037800,1737037800000,237.35,238.01,228.03,228.26,0,0,,,,,,,
-1000019,1737124200,1737124200000,232.115,232.29,228.48,229.98,0,0,,,,,,,
-1000018,1737469800,1737469800000,224,224.42,219.38,222.64,0,0,,,,,,,
